first_name,second_name,id,unique
Philippe,Coutinho,226,1226
Emre,Can,227,1227
Adam,Lallana,228,1228
Oluwaseyi,Ojo,229,1229
Sadio,Mané,230,1230
Marko,Grujic,231,1231
Georginio,Wijnaldum,232,1232
Ben,Woodburn,233,1233
Mohamed,Salah,234,1234
Roberto,Firmino,235,1235
Danny,Ings,237,1237
Divock,Origi,238,1238
Dominic,Solanke,239,1239
Virgil,van Dijk,311,1311
Andrew,Robertson,475,1475
Jon,Flanagan,514,1514
Danny,Ward,530,1530
Conor,Masterson,639,1639
Curtis,Jones,640,1640
Rafael,Camacho,641,1641
Ederson,Santana de Moraes,240,1240
Claudio,Bravo,241,1241
John,Stones,242,1242
Aleksandar,Kolarov,243,1243
Vincent,Kompany,244,1244
Nicolás,Otamendi,245,1245
Fabian,Delph,246,1246
Raheem,Sterling,247,1247
David,Silva,248,1248
Gnegneri Yaya,Touré,249,1249
Fernando,Luiz Rosa,250,1250
Fernando Francisco,Reges,251,1251
Kevin,De Bruyne,252,1252
Ilkay,Gündogan,253,1253
Manuel,Agudo Durán,254,1254
Leroy,Sané,255,1255
Bernardo Mota,Veiga de Carvalho e Silva,256,1256
Sergio,Agüero,257,1257
Gabriel Fernando,de Jesus,259,1259
Kyle,Walker,379,1379
Danilo Luiz,da Silva,483,1483
Benjamin,Mendy,484,1484
Phil,Foden,492,1492
Brahim,Diaz,493,1493
Oleksandr,Zinchenko,551,1551
Oluwatosin,Adarabioyo,586,1586
Aymeric,Laporte,612,1612
Lukas,Nmecha,627,1627
Alexis,Sánchez,14,1014
Nemanja,Matic,107,1107
David,De Gea,260,1260
Sergio,Romero,261,1261
Joel Dinis,Castro Pereira,262,1262
Chris,Smalling,263,1263
Phil,Jones,264,1264
Luke,Shaw,265,1265
Marcos,Rojo,266,1266
Antonio,Valencia,267,1267
Matteo,Darmian,268,1268
Daley,Blind,270,1270
Eric,Bailly,271,1271
Axel,Tuanzebe,272,1272
Victor,Lindelöf,273,1273
Juan,Mata,274,1274
Marouane,Fellaini,275,1275
Michael,Carrick,276,1276
Ashley,Young,277,1277
Ander,Herrera,278,1278
Jesse,Lingard,279,1279
Anthony,Martial,280,1280
Paul,Pogba,282,1282
Scott,McTominay,283,1283
Marcus,Rashford,284,1284
Romelu,Lukaku,285,1285
Andreas,Pereira,476,1476
Zlatan,Ibrahimovic,523,1523
Robert Kenedy,Nunes do Nascimento,110,1110
Islam,Slimani,212,1212
Robert,Elliot,286,1286
Karl,Darlow,287,1287
DeAndre,Yedlin,288,1288
Ciaran,Clark,289,1289
Jamaal,Lascelles,290,1290
Paul,Dummett,291,1291
Grant,Hanley,292,1292
Jesús,Gámez Duarte,293,1293
Florian,Lejeune,294,1294
Matt,Ritchie,295,1295
Jonjo,Shelvey,296,1296
Yoan,Gouffran,297,1297
Mohamed,Diamé,298,1298
Jack,Colback,299,1299
Christian,Atsu,300,1300
Dwight,Gayle,301,1301
Ayoze,Pérez,302,1302
Aleksandar,Mitrovic,303,1303
Daryl,Murphy,304,1304
Massadio,Haidara,465,1465
Siem,de Jong,466,1466
Rolando,Aarons,467,1467
Javier,Manquillo,477,1477
Jacob,Murphy,478,1478
Jose Luis,Mato Sanmartín,488,1488
Chancel,Mbemba,494,1494
Mikel,Merino,495,1495
Isaac,Hayden,496,1496
Henri,Saivet,516,1516
Freddie,Woodman,529,1529
Martin,Dubravka,621,1621
Alex,McCarthy,305,1305
Fraser,Forster,306,1306
Ryan,Bertrand,307,1307
Maya,Yoshida,308,1308
Matt,Targett,309,1309
Cédric,Soares,310,1310
Jérémy,Pied,312,1312
Jack,Stephens,313,1313
Sam,McQueen,314,1314
Jan,Bednarek,315,1315
Steven,Davis,316,1316
James,WardProwse,317,1317
Dusan,Tadic,318,1318
Jordy,Clasie,319,1319
Oriol,Romeu Vidal,320,1320
PierreEmile,Højbjerg,321,1321
Sofiane,Boufal,322,1322
Joshua,Sims,323,1323
Nathan,Redmond,324,1324
Shane,Long,325,1325
Charlie,Austin,326,1326
Manolo,Gabbiadini,327,1327
Mario,Lemina,500,1500
Stuart,Taylor,506,1506
Wesley,Hoedt,525,1525
Michael,Obafemi,603,1603
Guido,Carrillo,607,1607
Kurt,Zouma,99,1099
Jack,Butland,328,1328
Lee,Grant,329,1329
Ryan,Shawcross,330,1330
Geoff,Cameron,331,1331
Erik,Pieters,332,1332
Marc,Muniesa,333,1333
Glen,Johnson,335,1335
Josh,Tymon,336,1336
Joe,Allen,337,1337
Charlie,Adam,338,1338
Glenn,Whelan,339,1339
Ibrahim,Afellay,341,1341
Xherdan,Shaqiri,342,1342
Giannelli,Imbula,343,1343
Bojan,Krkic Perez,344,1344
Ramadan,Sobhi,345,1345
Darren,Fletcher,346,1346
Peter,Crouch,347,1347
Mame Biram,Diouf,348,1348
Saido,Berahino,349,1349
Kevin,Wimmer,383,1383
Eric Maxim,ChoupoMoting,497,1497
Jesé,Rodríguez Ruiz,512,1512
Bruno,Martins Indi,513,1513
Harry,Souttar,550,1550
Thomas,Edwards,556,1556
Julien,Ngoy,562,1562
Jakob,Haugaard,569,1569
Stephen,Ireland,590,1590
Moritz,Bauer,594,1594
Konstantinos,Stafylidis,599,1599
