,url_id,tag,key,first_name,second_name,id,full_name,keep
58,43309491,Nathan-Broadhead,0,Nathan,Broadhead,680,Nathan Broadhead,True
59,47369df8,Josh-Brownhill,0,Josh,Brownhill,98,Josh Brownhill,True
60,af69e7f0,Joe-Bryan,0,Joe,Bryan,182,Joe Bryan,True
61,c684d3c9,Kean-Bryan,0,Kean,Bryan,603,Kean Bryan,True
62,f631c17f,Oliver-Burke,0,Oliver,Burke,424,Oliver Burke,True
63,b2d31e83,Dan-Burn,0,Dan,Burn,61,Dan Burn,True
64,cc70a1d5,Jack-Butland,0,Jack,Butland,586,Jack Butland,True
65,e608ed4c,David-Button,0,David,Button,56,David Button,True
66,aa6f2f2c,Oskar-Buur,0,Oskar,Buur,467,Oskar Buur,True
67,a179d516,Willy-Caballero,0,Willy,Caballero,101,Willy Caballero,True
68,7914b9fe,Gary-Cahill,0,Gary,Cahill,125,Gary Cahill,True
69,a8748947,Tom-Cairney,0,Tom,Cairney,175,Tom Cairney,True
70,59e6e5bf,Dominic-Calvert-Lewin,0,Dominic,Calvert-Lewin,164,Dominic Calvert-Lewin,True
71,55b4f1d6,Ian-Carlo-Poveda,0,Ian Carlo,Poveda-Ocampo,209,Ian Carlo Poveda-Ocampo,True
72,b581987a,Andy-Carroll,0,Andy,Carroll,320,Andy Carroll,True
73,3e1550ee,Scott-Carson,0,Scott,Carson,608,Scott Carson,True
74,966e28d0,Fabio-Carvalho,0,Fabio,Carvalho,695,Fabio Carvalho,True
75,197640fd,Timothy-Castagne,0,Timothy,Castagne,498,Timothy Castagne,True
76,979b811d,Ivan-Cavaleiro,0,Ivan Ricardo,Neves Abreu Cavaleiro,187,Ivan Ricardo Neves Abreu Cavaleiro,True
77,527f063d,Edinson-Cavani,0,Edinson,Cavani,569,Edinson Cavani,True
78,c0617e2b,Dani-Ceballos,0,Daniel,Ceballos Fernández,501,Daniel Ceballos Fernández,True
79,dc6f5bdd,Calum-Chambers,0,Calum,Chambers,13,Calum Chambers,True
80,d2424d1b,Ben-Chilwell,0,Benjamin,Chilwell,232,Benjamin Chilwell,True
81,7d2d3329,Hamza-Choudhury,0,Hamza,Choudhury,234,Hamza Choudhury,True
82,1cb49278,Andreas-Christensen,0,Andreas,Christensen,116,Andreas Christensen,True
83,b2f9c73e,Carney-Chukwuemeka,0,Carney,Chukwuemeka,672,Carney Chukwuemeka,True
84,2b91cf8e,Ciaran-Clark,0,Ciaran,Clark,324,Ciaran Clark,True
85,0442183b,Nathaniel-Clyne,0,Nathaniel,Clyne,577,Nathaniel Clyne,True
86,2928dca2,Conor-Coady,0,Conor,Coady,459,Conor Coady,True
87,0420d84f,Seamus-Coleman,0,Seamus,Coleman,152,Seamus Coleman,True
88,27c01749,Aaron-Connolly,0,Aaron,Connolly,78,Aaron Connolly,True
89,dc64b8b3,Liam-Cooper,0,Liam,Cooper,195,Liam Cooper,True
90,25b82f9a,Theo-Corbeanu,0,Theo,Corbeanu,610,Theo Corbeanu,True
91,74e12f1e,Jack-Cork,0,Jack,Cork,84,Jack Cork,True
92,fdf3cb77,Vladimir-Coufal,0,Vladimir,Coufal,558,Vladimir Coufal,True
93,4f974391,Aaron-Cresswell,0,Aaron,Cresswell,435,Aaron Cresswell,True
94,a4fe8cda,Patrick-Cutrone,0,Patrick,Cutrone,626,Patrick Cutrone,True
95,67ca8566,Stuart-Dallas,0,Stuart,Dallas,200,Stuart Dallas,True
96,52105203,Scott-Dann,0,Scott,Dann,486,Scott Dann,True
97,cde3309f,Karl-Darlow,0,Karl,Darlow,325,Karl Darlow,True
98,44781702,Ben-Davies,0,Ben,Davies,395,Ben Davies,True
99,9228b07c,Tom-Davies,0,Tom,Davies,163,Tom Davies,True
100,9deaf2c8,Keinan-Davis,0,Keinan,Davis,50,Keinan Davis,True
101,8574c61f,Leif-Davis,0,Leif,Davis,214,Leif Davis,True
102,3e9e06cb,Craig-Dawson,0,Craig,Dawson,576,Craig Dawson,True
103,e46012d4,Kevin-De-Bruyne,0,Kevin,De Bruyne,272,Kevin De Bruyne,True
104,dd897ee7,Liam-Delap,0,Liam,Delap,539,Liam Delap,True
105,111c3236,Fabian-Delph,0,Fabian,Delph,149,Fabian Delph,True
106,5a7301ae,Leander-Dendoncker,0,Leander,Dendoncker,464,Leander Dendoncker,True
107,dda3969e,Mbaye-Diagne,0,Mbaye,Diagne,648,Mbaye Diagne,True
108,9dc96f10,Amad-Diallo,0,Amad,Diallo,640,Amad Diallo,True
109,11ff3d56,Ibrahima-Diallo,0,Ibrahima,Diallo,565,Ibrahima Diallo,True
110,f522d7ec,Grady-Diangana,0,Grady,Diangana,446,Grady Diangana,True
111,ac861941,Eric-Dier,0,Eric,Dier,391,Eric Dier,True
112,1b84dbe1,Lucas-Digne,0,Lucas,Digne,155,Lucas Digne,True
113,a712ca2b,Issa-Diop,0,Issa,Diop,451,Issa Diop,True
114,254147d4,Moussa-Djenepo,0,Moussa,Djenepo,382,Moussa Djenepo,True
115,d557d734,Matt-Doherty,0,Matt,Doherty,457,Matt Doherty,True
116,3a949a25,Martin-Dubravka,0,Martin,Dubravka,326,Martin Dubravka,True
117,3fe6bd8c,Paul-Dummett,0,Paul,Dummett,331,Paul Dummett,True
118,282f75f3,Lewis-Dunk,0,Lewis,Dunk,62,Lewis Dunk,True
119,1fdfd6da,Jimmy-Dunne,0,Jimmy,Dunne,519,Jimmy Dunne,True
120,1566e437,Kyle-Edwards,0,Kyle,Edwards,421,Kyle Edwards,True
121,debe38a0,John-Egan,0,John,Egan,353,John Egan,True
122,2fba6108,Anthony-Elanga,0,Anthony,Elanga,702,Anthony Elanga,True
123,47a34c4f,Mohamed-Elneny,0,Mohamed Naser,El Sayed Elneny,526,Mohamed Naser El Sayed Elneny,True
124,f8fcd2a5,Jonny-Evans,0,Jonny,Evans,219,Jonny Evans,True
125,ae4fc6a4,Eberechi-Eze,0,Eberechi,Eze,489,Eberechi Eze,True
126,9328b835,Lukasz-Fabianski,0,Lukasz,Fabianski,431,Lukasz Fabianski,True
127,507c7bdf,Bruno-Fernandes,0,Bruno Miguel,Borges Fernandes,302,Bruno Miguel Borges Fernandes,True
128,bd8a7d05,Sam-Field,0,Sam,Field,423,Sam Field,True
129,4c370d81,Roberto-Firmino,0,Roberto,Firmino,249,Roberto Firmino,True
130,b63e789d,John-Fleck,0,John,Fleck,346,John Fleck,True
131,ed1e53f3,Phil-Foden,0,Phil,Foden,284,Phil Foden,True
132,132a82f1,Wesley-Fofana,0,Wesley,Fofana,561,Wesley Fofana,True
133,82927de4,Pablo-Fornals,0,Pablo,Fornals,450,Pablo Fornals,True
134,c3e39f12,Fraser-Forster,0,Fraser,Forster,523,Fraser Forster,True
135,a9142dc3,Timothy-Fosu-Mensah,0,Timothy,Fosu-Mensah,312,Timothy Fosu-Mensah,True
136,6722d4f0,Tyrese-Francois,0,Tyrese,Francois,708,Tyrese Francois,True
137,d56543a0,Ryan-Fraser,0,Ryan,Fraser,507,Ryan Fraser,True
138,b853e0ad,Fred,0,Frederico,Rodrigues de Paula Santos,299,Frederico Rodrigues de Paula Santos,True
139,c067631c,Ryan-Fredericks,0,Ryan,Fredericks,438,Ryan Fredericks,True
140,a67a09fb,Christian-Fuchs,0,Christian,Fuchs,218,Christian Fuchs,True
141,3ec9195b,Darnell-Furlong,0,Darnell,Furlong,422,Darnell Furlong,True
142,c2731c10,Conor-Gallagher,0,Conor,Gallagher,544,Conor Gallagher,True
143,2bed3eab,Eric-Garcia,0,Eric,Garcia,288,Eric Garcia,True
144,e58a03c6,Dwight-Gayle,0,Dwight,Gayle,329,Dwight Gayle,True
145,6bd603db,Jean-Philippe-Gbamin,0,Jean-Philippe,Gbamin,161,Jean-Philippe Gbamin,True
146,7ba6d84e,David-de-Gea,0,David,de Gea,291,David de Gea,True
147,ffa90327,Anwar-El-Ghazi,0,Anwar,El Ghazi,45,Anwar El Ghazi,True
148,46ee5234,Kieran-Gibbs,0,Kieran,Gibbs,407,Kieran Gibbs,True
149,32f60ed8,Morgan-Gibbs-White,0,Morgan,Gibbs-White,473,Morgan Gibbs-White,True
150,df10e27c,Billy-Gilmour,0,Billy,Gilmour,124,Billy Gilmour,True
151,16ceb862,Olivier-Giroud,0,Olivier,Giroud,103,Olivier Giroud,True
152,9f7c837d,Ben-Godfrey,0,Ben,Godfrey,566,Ben Godfrey,True
153,2bd83368,Anthony-Gordon,0,Anthony,Gordon,168,Anthony Gordon,True
