,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
237495,fc15fb84,Dwight-McNeil,Dwight McNeil,0,Dwight,McNeil,118,Dwight McNeil,True
238506,d93c2511,Scott-McTominay,Scott McTominay,0,Scott,McTominay,285,Scott McTominay,True
238958,8df7a2fb,Ben-Mee,Benjamin Thomas Mee,0,Ben,Mee,106,Ben Mee,True
239994,ca22ccb0,Hannibal-Mejbri,Hannibal Mejbri,0,Hannibal,Mejbri,706,Hannibal Mejbri,True
240674,5271c8f1,Benjamin-Mendy,Benjamin Mendy,0,Benjamin,Mendy,253,Benjamin Mendy,True
241217,33887998,Edouard-Mendy,Edouard Mendy,0,Edouard,Mendy,143,Edouard Mendy,True
242041,1598599e,Nampalys-Mendy,Nampalys Mendy,0,Nampalys,Mendy,203,Nampalys Mendy,True
242824,6b625ac2,Illan-Meslier,Illan Stéphane Meslier,0,Illan,Meslier,199,Illan Meslier,True
244317,2f90f6b8,James-Milner,James Philip Milner,0,James,Milner,221,James Milner,True
244955,6d5701f2,Yerry-Mina,Yerry Fernando Mina Gonzalez,0,Yerry,Mina,175,Yerry Mina,True
246214,8397a50c,Tyrone-Mings,Tyrone Deon Mings,0,Tyrone,Mings,38,Tyrone Mings,True
247140,5cbd1eb0,Tyrick-Mitchell,Tyrick Mitchell,0,Tyrick,Mitchell,162,Tyrick Mitchell,True
247776,f230bc30,Jakub-Moder,Jakub Moder,0,Jakub,Moder,75,Jakub Moder,True
248432,bfae110f,Wesley-Moraes,Wesley Moraes Ferreira Da Silva,0,Wesley,Moraes,47,Wesley Moraes,True
249506,2bc28bb9,Tyler-Morton,Tyler Scott Morton,0,Tyler,Morton,620,Tyler Morton,True
250056,9674002f,Mason-Mount,Mason Mount,0,Mason,Mount,138,Mason Mount,True
251167,2b622f01,Lucas-Moura,Lucas Rodrigues Moura da Silva,0,Lucas,Rodrigues Moura da Silva,362,Lucas Rodrigues Moura da Silva,True
253282,de112b84,Jacob-Murphy,Jacob Kai Murphy,0,Jacob,Murphy,304,Jacob Murphy,True
253674,1d5cab82,Enock-Mwepu,Enock Mwepu,0,Enock,Mwepu,462,Enock Mwepu,True
255060,de5b5570,Marvelous-Nakamba,Marvelous Nakamba,0,Marvelous,Nakamba,41,Marvelous Nakamba,True
256057,6b47c5db,Wilfred-Ndidi,Onyinye Wilfred Ndidi,0,Wilfred,Ndidi,216,Wilfred Ndidi,True
257075,5cdddffa,Tanguy-Ndombele,Tanguy Ndombele,0,Tanguy,Ndombele,375,Tanguy Ndombele,True
257242,c5bdb6e3,Reiss-Nelson,Reiss Nelson,0,Reiss,Nelson,531,Reiss Nelson,True
258664,7ba2eaa9,Pedro-Neto,Pedro Neto,0,Pedro,Lomba Neto,441,Pedro Lomba Neto,True
259396,44bfb6c5,Ruben-Neves,Rúben Diogo da Silva Neves,0,Rúben Diogo,da Silva Neves,436,Rúben Diogo da Silva Neves,True
260063,3631ad41,Jeremy-Ngakia,Jeremy Ngakia,0,Jeremy,Ngakia,400,Jeremy Ngakia,True
260384,c14bc029,Saul-Niguez,Saúl Ñíguez Esclapez,0,Saúl,Ñíguez,592,Saúl Ñíguez,True
260915,a53649b7,Eddie-Nketiah,Edward Nketiah,0,Edward,Nketiah,20,Edward Nketiah,True
263039,ff527768,Mark-Noble,Mark James Noble,0,Mark,Noble,406,Mark Noble,True
263647,8996350d,Mathias-Normann,Mathias Normann,0,Mathias,Normann,581,Mathias Normann,True
263933,df0a4c90,Christian-Norgaard,Christian Thers Nørgaard,0,Christian,Nørgaard,77,Christian Nørgaard,True
265253,74b2cd7e,Angelo-Ogbonna,Angelo Obinze Ogbonna,0,Angelo,Ogbonna,409,Angelo Ogbonna,True
265567,c4486bac,Michael-Olise,Michael Olise,0,Michael,Olise,464,Michael Olise,True
266140,e7ee38c3,Robin-Olsen,Robin Patrick Olsen,0,Robin,Olsen,691,Robin Olsen,True
267322,c393a6c4,Andrew-Omobamidele,Andrew Omobamidele,0,Andrew,Omobamidele,331,Andrew Omobamidele,True
267829,d86a1f3e,Tyler-Onyango,Tyler Onyango,0,Tyler,Onyango,630,Tyler Onyango,True
268376,2944f86f,Frank-Onyeka,Ogochukwu Frank Onyeka,0,Frank,Onyeka,479,Frank Onyeka,True
269389,43a166b4,Divock-Origi,Divock Okoth Origi,0,Divock,Origi,235,Divock Origi,True
270118,38c7feef,Alex-Oxlade-Chamberlain,Alexander Mark David Oxlade-Chamberlain,0,Alex,Oxlade-Chamberlain,227,Alex Oxlade-Chamberlain,True
270907,dc7f8a28,Cole-Palmer,Cole Palmer,0,Cole,Palmer,507,Cole Palmer,True
271438,e0bc6fdc,Emerson-Palmieri,Emerson Palmieri dos Santos,0,Emerson,Palmieri dos Santos,539,Emerson Palmieri dos Santos,True
271966,529f49ab,Thomas-Partey,Thomas Teye Partey,0,Thomas,Partey,15,Thomas Partey,True
272705,57e3f0c7,Nicolas-Pepe,Nicolas Pépé,0,Nicolas,Pépé,17,Nicolas Pépé,True
273736,75a72a99,Ricardo-Pereira,Ricardo Domingos Barbosa Pereira,0,Ricardo Domingos,Barbosa Pereira,207,Ricardo Domingos Barbosa Pereira,True
274477,819aa8e7,Ayoze-Perez,Ayoze Pérez Gutiérrez,0,Ayoze,Pérez,211,Ayoze Pérez,True
275595,87f12e30,Sonny-Perkins,Sonny Tufail Perkins,0,Sonny,Perkins,634,Sonny Perkins,True
276202,6dfd8f05,Romain-Perraud,Romain Perraud,0,Romain,Perraud,460,Romain Perraud,True
276718,4f565d77,Kalvin-Phillips,Kalvin Phillips,0,Kalvin,Phillips,191,Kalvin Phillips,True
278115,4806ec67,Jordan-Pickford,Jordan Lee Pickford,0,Jordan,Pickford,170,Jordan Pickford,True
278750,1ef37668,Erik-Pieters,Erik Pieters,0,Erik,Pieters,100,Erik Pieters,True
279424,e541326e,Ethan-Pinnock,Ethan Pinnock,0,Ethan,Pinnock,91,Ethan Pinnock,True
