33,2023-04-02,Sun,Matchweek 29,Away,L 0–1,Southampton,West Ham,Y,CB,90,0,0,0,0,0,0,1,0,81,2,5,2,0.0,0.0,0.0,0,0,63,70,90.0,5,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,550,27,87.1,27,28,96.4,8,9,88.9,0.0,0,4,0,0
34,2023-04-08,Sat,Matchweek 30,Home,L 1–4,Southampton,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,54,1,2,3,0.0,0.0,0.0,0,0,31,37,83.8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,191,14,87.5,16,16,100.0,1,5,20.0,0.0,0,2,0,0
35,2023-04-15,Sat,Matchweek 31,Home,L 0–2,Southampton,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,83,0,3,2,0.0,0.0,0.0,1,0,62,76,81.6,8,52,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1086,495,30,88.2,27,30,90.0,5,11,45.5,0.0,0,4,0,0
36,2023-04-21,Fri,Matchweek 32,Away,D 3–3,Southampton,Arsenal,Y,CB,40,0,0,0,0,1,0,0,0,12,1,3,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,1,100.0,4,5,80.0,0,1,0.0,0.0,0,0,0,0
37,2023-04-27,Thu,Matchweek 33,Home,L 0–1,Southampton,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,70,1,4,2,0.0,0.0,0.0,1,0,49,57,86.0,1,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,972,400,15,78.9,28,29,96.6,6,7,85.7,0.0,0,1,0,0
38,2023-04-30,Sun,Matchweek 34,Away,L 1–3,Southampton,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,47,0,1,5,0.0,0.0,0.0,0,0,20,30,66.7,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,70,13,81.3,6,8,75.0,1,4,25.0,0.0,0,0,0,0
39,2023-05-08,Mon,Matchweek 35,Away,L 3–4,Southampton,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,86,1,4,1,0.0,0.0,0.0,0,0,66,76,86.8,12,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,569,20,90.9,42,46,91.3,4,8,50.0,0.0,0,6,1,0
40,2023-05-13,Sat,Matchweek 36,Home,L 0–2,Southampton,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,52,0,2,3,0.0,0.0,0.0,0,0,34,41,82.9,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,728,292,8,88.9,21,23,91.3,5,8,62.5,0.0,0,0,0,0
41,2023-05-21,Sun,Matchweek 37,Away,L 1–3,Southampton,Brighton,Y,CB,90,0,0,0,0,0,0,1,0,66,1,1,2,0.0,0.0,0.0,0,0,49,55,89.1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,319,20,95.2,27,29,93.1,1,4,25.0,0.0,0,1,0,0
42,2023-05-28,Sun,Matchweek 38,Home,D 4–4,Southampton,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,44,3,2,1,0.0,0.0,0.0,0,0,24,28,85.7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,156,12,100.0,10,11,90.9,2,5,40.0,0.0,0,1,0,0
